Borough,GFR
Barking and Dagenham,82.6
Barnet,64.3
Bexley,63.3
Brent,74.5
Bromley,66.7
Camden,41.5
Croydon,72.5
Ealing,71.0
Enfield,68.3
Greenwich,69.1
Hackney and City of London,58.1
Hammersmith and Fulham,52.8
Haringey,61.5
Harrow,75.9
Havering,68.0
Hillingdon,69.0
Hounslow,72.3
Islington,44.8
Kensington and Chelsea,51.7
Kingston upon Thames,56.6
Lambeth,48.9
Lewisham,64.7
Merton,69.2
Newham,73.4
Redbridge,73.4
Richmond upon Thames,63.6
Southwark,53.3
Sutton,64.8
Tower Hamlets,53.7
Waltham Forest,75.9
Wandsworth,51.6
Westminster,45.1

